order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value
00042b26cf59d7ce69dfabb4e55b4fd9,1,ac6c3623068f30de03045865e4e10089,df560393f3a51e74553ab94004ba5c87,2017-02-13 13:57:51,199.9,18.14
000e63d38ae8c00bbcb5a30573b99628,1,553e0e7590d3116a072507a3635d2877,1c129092bf23f28a5930387c980c0dfc,2018-03-29 20:07:49,47.9,8.88
003d804eef0e1b856881cd18e0cc0d4c,1,41402af2a88247152583bb812ba235dd,4869f7a5dfa277a7dca6462dcf3b52b2,2017-11-27 12:15:18,277.0,35.74
0046e1d57f4c07c8c92ab26be8c3dfc0,1,ff6caf9340512b8bf6d2a2a6df032cfa,38e6dada03429a47197d5d584d793b41,2017-10-02 15:49:17,7.79,7.78
0049edf42837aa808e03552a62bd2158,1,389d119b48cf3043d311335e499d9c6b,1f50f920176fa81dab994f9023523100,2018-01-05 12:48:10,49.9,17.6
004ca5ae248069d68e8594df8abf6ce0,1,cd71c76f5ab15f51f24fb214fc42d8ab,620c87c171fb2a6dd6e8bb4dec959fc6,2018-06-14 18:52:39,159.9,61.18
006127b8b9a1681a982313ed7129c3c0,1,f819f0c84a64f02d3a5606ca95edd272,7d13fca15225358621be4086e1eb0964,2018-03-15 02:30:23,540.0,16.22
0068c109948b9a1dfb8530d1978acef3,1,525f8fbde09c9bf777025c3141fbbc6e,8b321bb669392f5163d04c59e235e066,2018-01-30 02:53:04,35.9,15.79
0068c109948b9a1dfb8530d1978acef3,2,525f8fbde09c9bf777025c3141fbbc6e,8b321bb669392f5163d04c59e235e066,2018-01-30 02:53:04,35.9,15.79
00750f68bb64537034e93554c64b41b5,1,526f833e1eb0a32ad9351145a761b9ab,6560211a19b47992c3666cc44a7e94c0,2017-11-17 10:10:32,129.0,8.16
010b0f6bd323a9effd095a743e660f26,1,0bdb7583b74c0323d413497fab3f2a3c,c9c7905cffc4ef9ff9f113554423e671,2017-07-25 07:32:04,27.99,8.72
011105c3b5b8693eda1bfb1f152cec2a,1,d67212d63e76d57ee86cec463681f842,a5259c149128e82c9d6d46e0c1c812bb,2017-08-04 13:55:22,208.1,43.49
011bf86f1b7dacebda2c874333cf656b,1,9ecadb84c81da840dbf3564378b586e9,1025f0e2d44d7041d6cf58b6550e0bfa,2018-03-16 19:48:24,35.0,19.32
011bf86f1b7dacebda2c874333cf656b,2,9ecadb84c81da840dbf3564378b586e9,1025f0e2d44d7041d6cf58b6550e0bfa,2018-03-16 19:48:24,35.0,19.32
012eab2625c5f8aaac6f37f2c19ef62f,1,5c699beec1e114bd15b35cf8d01ec6b5,4a3ccda38b2129705f3fb522db62ca31,2017-11-09 00:50:19,81.9,15.32
0136bcc7370d7fdf44bd916a6dd583c6,1,81a3d1dc085d3226530f23cd4af5030b,b74d1c09cb380e1d03a6f859c6f4224b,2018-05-22 19:50:36,29.99,16.32
0159b449009b3f8748ed7c56e9d84afe,1,83b23a333b811855258c5ec9431f6d3e,1da3aeb70d7989d1e6d9b0e887f97c23,2018-01-04 13:49:27,16.0,7.78
