seller_id,seller_zip_code_prefix,seller_city,seller_state
001cca7ae9ae17fb1caed9dfb1094831,29156,cariacica,ES
002100f778ceb8431b7a1020ff7ab48f,14405,franca,SP
004c9cd9d87a3c30c522c48c4fc07416,14940,ibitinga,SP
00ee68308b45bc5e2660cd833c3f81cc,03333,sao paulo,SP
00fc707aaaad2d31347cf883cd2dfe10,87025,maringa,PR
014c0679dd340a0e338872e7ec85666a,35180,timoteo,MG
014d9a685fd57276679edd00e07089e5,87015,maringa,PR
01c97ebb5cdac52891c0ed1c37ba0012,15804,catanduva,SP
01cf7e3d21494c41fb86034f2e714fa1,85603,francisco beltrao,PR
01fdefa7697d26ad920e9e0346d4bd1b,86050,londrina,PR
0241d4d5d36f10f80c644447315af0bd,80330,curitiba,PR
02c988090b766852e088c69d7fb3b551,13473,americana,SP
02dcd3e8e25bee036e32512bcf175493,32310,contagem,MG
02f623a8eb246f3c5f7c2f96462654e6,18611,botucatu,SP
0336182e1b3e92f029d5354832045fdf,14940,ibitinga,SP
0417b067eeab773d2f7061a726dc477f,89288,sao bento do sul,SC
0432ead42b6c8a0bdf68154add917fdf,09320,maua,SP
048c2757535328e0d7dac690ad3c0aae,14406,franca,SP
04aba03279157f6d4e0fe8ccaf21963c,28470,santo antonio de padua,RJ
04e38a233f726ef161074ab1c9b0399a,01239,sao paulo,SP
0509040ea3fe50071181bbc359eb7738,31710,belo horizonte,MG
056b4ada5bbc2c50cc7842547dda6b51,26379,queimados,RJ
0570350b23eda5444f8d1d9544932058,05104,sao paulo,SP
058fd0aa2bfdb2274e05e1ae971dabb6,09020,santo andre,SP
05d2173d43ea568aa0540eba70d2ca76,37135,alfenas,MG
05f51e13da97139648b8125c31e5f51b,31910,belo horizonte,MG
05ff92fedb5be47920fea08e501238b9,98803,santo angelo,RS
062ce95fa2ad4dfaedfc79260130565f,95913,lajeado,RS
06579cb253ecd5a3a12a9e6eb6bf8f47,04007,sao paulo - sp,SP
0691148aee60ca47977c187804f935ae,86010,londrina,PR
06a2c3af7b3aee5d69171b0e14f0ee87,65072,sao luis,MA
06df0c10d34e459d9672bc77388742eb,87045,maringa,PR
06e5eefc71ec47ae763c5c6f8db7064f,91350,porto alegre,RS
07017df32dc5f2f1d2801e579548d620,58030,joao pessoa,PB
0725b8c0f3f906e58f70cbe76b7c748c,07023,guarulhos,SP
0747d5bb69f0586cc869d8af4c50f93e,28990,saquarema,RJ
080102cd0a76b09e0dcf55fcacc60e05,31140,belo horizonte,MG
080199a181c46c657dc5aa235411be3b,06097,osasco,SP
08084d990eb3f53af056ccbc1730c8a7,03612,sao paulo,SP
082e0bf4cb865a6533b1e8e498cc0255,18608,botucatu,SP
08633c14ef2db992c11f840f04fad4cd,09416,ribeirao pires,SP
08d2d642cf72b622b14dde1d2f5eb2f5,17512,marilia,SP
093805f8f2aeb63881444571e1f48f30,06236,osasco,SP
0951a6e282947e09cd47969f4ed0b47f,06763,taboao da serra,SP
09f952a5f58d2285b0372551ae8f9b01,09725,sao bernardo do campo,SP
0ac4201fda2c68ebc0e47cb9423cf3c9,03345,sao paulo,SP
0adac9fbd9a2b63cccaac4f8756c1ca8,13290,louveira,SP
0b09101900100c0e9d312861fad5a1b9,03168,sao paulo,SP
0b90b6df587eb83608a64ea8b390cf07,87025,maringa,PR
0bae85eb84b9fb3bd773911e89288d54,88301,itajai,SP
0bb27263628258b8111a0262769fa9db,03077,sao paulo,SP
0be8ff43f22e456b4e0371b2245e4d01,04461,sao paulo,SP
0bfd0b434243adc5c2e1aa6baf19c6aa,22745,rio de janeiro,RJ
0c7533c71df861ec58ad7ff999ed0e8d,13270,valinhos,SP
0c8380b62e38e8a1e6adbeba7eb9688c,37410,tres coracoes,MG
0cbcee27c791afa0cdcb08587a2013a8,37410,tres coracoes,MG
0d33a55da925bbf1ff02af5f6059fc7f,05632,sao paulo,SP
0d85bbda9889ce1f7e63778d24f346eb,38414,uberlandia,MG
0db783cfcd3b73998abc6e10e59a102f,11010,santos,SP
0dd184061fb0eaa7ca37932c68ab91c5,07031,guarulhos,SP
0df3984f9dfb3d49ac6366acbd3bbb85,32604,betim,MG
0ea22c1cfbdc755f86b9b54b39c16043,35700,sete lagoas,MG
0eaa7e33d73809f1f925f7d07c506cbd,09111,santo andre,SP
0ebd97a106433a45a4aebe57c1799778,32240,contagem,MG
0ef83d7d83ed97cd2a0049ac8be5f88a,80230,curitiba,PR
0fe2d9733ed841eb064503920015a8c0,19906,ourinhos,SP
0ffa40d54288e4f3499b8780dd0f144f,19013,presidente prudente,SP
1025f0e2d44d7041d6cf58b6550e0bfa,03204,sao paulo,SP
10ff823eda2b032e2c93d17a7d294736,17280,pederneiras,SP
1127b7f2594683f2510f1c2c834a486b,13087,campinas,SP
11305281b50fff20ae8bb473f8e11876,36500,uba,MG
11eac105f3f90a9b87b19c89d91e24f3,07411,sao paulo,SP
128639473a139ac0f3e5f5ade55873a5,87050,maringa,PR
12b9676b00f60f3b700e83af21824c0e,95780,montenegro,RS
131fcb0a0c9a47bba4474aacff0f14b7,01201,sao paulo,SP
1336efc61c316ddf92c899eb817f7cae,19800,assis,SP
138dbe45fc62f1e244378131a6801526,02215,sao paulo,SP
1554a68530182680ad5c8b042c3ab563,37580,monte siao,MG
15aac934c58d886785ac1b17953ea898,29480,muqui,ES
15cd6eefe58588619aaed41dfa6621b1,35400,ouro preto,MG
16090f2ca825584b5a147ab24aa30c86,12940,atibaia,SP
165fc07beebdcb6190fba8a06db2a449,87015,maringa,PR
167fd940acebc789debd6eb418c46e38,14405,franca,SP
179d859f51292aac5c10806a356f7af9,09411,ribeirao pires,SP
17a053fcb14bd219540cbde0df490be0,13843,mogi guacu,SP
17ca9b9e9b9ef8fdb529001b49ebb50f,32677,betim,MG
17e34d8224d27a541263c4c64b11a56b,14085,riberao preto,SP
17f51e7198701186712e53a39c564617,03908,sao paulo,SP
1835b56ce799e6a4dc4eddc053f04066,14940,ibitinga,SP
1838dd9b8977065acf51d95e0053ea7a,30882,belo horizonte,MG
184a67a8f9f63234d3a92340bbdb727f,89220,joinville,SC
186cdd1b2df32caa72cfb410bba768d3,89295,rio negrinho,SC
18a349e75d307f4b4cc646a691ed4216,01319,sao paulo,SP
18e694e0e48ed6f7aa3f24aade5fd697,13224,varzea paulista,SP
1900267e848ceeba8fa32d80c1a5f5a8,14940,ibitinga,SP
1961c3e1272bfeceb05d0b78b5bbfdaf,07241,guarulhos,SP
1987cd4be10fe09ee50454f9c354d1c6,37570,ouro fino,MG
198c7ea11960a9844b544d9bcdca860c,37590,jacutinga,MG
1a3df491d1c4f1589fc2b934ada68bf2,89224,joinville,SC
1a932caad4f9d804097d7f8e615baed1,02976,sao paulo,SP
1acde099eb406aa220b1169b188b42da,02532,sao paulo,SP
1b1ae47a313a825a7ccceb8e2e30fa9d,83450,bocaiuva do sul,PR
1b4c3a6f53068f0b6944d2d005c9fc89,88730,sao ludgero,SC
1b65c144b17e607c0f37f10bb7dfec8d,89160,rio do sul,SC
1b7e5006cb25dd23ce8686691013b121,02350,sao paulo,SP
1b8356dabde1d35e17cef975c3f82730,03477,sao paulo,SP
1b938a7ec6ac5061a66a3766e0e75f90,16304,penapolis,SP
1bb2bdb95f4841f1bba2c0d2cd83d3c9,01257,sao paulo,SP
1c129092bf23f28a5930387c980c0dfc,02972,sao paulo,SP
1c40343cc5d18c2d8248ac2f3366de34,13482,limeira,SP
1c68394e931a64f90ea236c5ea590300,87114,sarandi,PR
1ca7077d890b907f89be8c954a02686a,06506,santana de parnaiba,SP
1caf283236cd69af44cbc09a0a1e7d32,26020,nova iguacu,RJ
1cbd50a8c52e6cf8e315c5709fab386f,83830,fazenda rio grande,PR
1ce3ae5a399804d1a87e706f8a813c3e,88715,jaguaruna,SC
1d8dbc4f32378d715c717c1c1fc57bae,86706,arapongas,PR
1da3aeb70d7989d1e6d9b0e887f97c23,04265,sao paulo,SP
1dfe5347016252a7884b694d4f10f5c4,14940,ibitinga,SP
1e47defeeadeca0e9a18fa5a9311e735,15800,catanduva,SP
1e8b33f18b4f7598d87f5cbee2282cc2,02066,sao paulo,SP
1eade46fba20122dc4aefb379f8c636b,02066,sao paulo,SP
1f1bb1f0859883505541bdd6606193e5,02124,sao paulo,SP
1f50f920176fa81dab994f9023523100,15025,sao jose do rio preto,SP
1f867308a0ce13133a4e639ff4de0c02,82510,curitiba,PR
1fe5540d7c1c37a595fefbacd5570d9e,25850,paraiba do sul,RJ
2089a6d640999f9b9141ac719b2af596,13566,sao carlos,SP
20b54c376b794ed028df09a3cd88e8dc,09560,sao caetano do sul,SP
20cb7c2fde3e5bf10f0bbe7394e1c6a9,86385,andira-pr,PR
20d83f3ef0e6925fd74bfd59170babf7,02804,sao paulo,SP
2138ccb85b11a4ec1e37afbd1c8eda1f,08250,sao paulo,SP
213b25e6f54661939f11710a6fddb871,13321,salto,SP
218d46b86c1881d022bce9c68a7d4b15,14070,ribeirao preto,SP
218f991754f360af9c2daa5e0b8e990c,01123,sao paulo,SP
238fac594e170b59c6d228f5a4f4f1d9,17300,dois corregos,SP
23a0ffca143a15b9b5bbdb7d552f626a,13520,sao pedro,SP
23c38debaffe4a25a30fdbd9b586a13f,18110,votorantim,SP
23d7c96d4a1160db1c726b248601b25a,13360,capivari,SP
2528513dd95219a6013d4d05176e391a,06060,osasco,SP
259f7b5e6e482c230e5bfaa670b6bb8f,08550,poa,SP
25be943a321c8938947bdaabca979a90,09725,sao bernardo do campo,SP
25c5c91f63607446a97b143d2d535d31,35680,itauna,MG
25cf099de44674fde97473224f9d59ab,06716,cotia,SP
25e47381a6c510ddeb36084e33b89f0c,11720,praia grande,SP
25e6ffe976bd75618accfe16cefcbd0d,05503,sao paulo,SP
26785a546900236d66f2e4197c211158,08430,sao paulo,SP
26d8a1c7c75d513045798992ead43aa2,86800,apucarana,PR
26e2c91ef821e1ff8985f408788fe35b,14940,ibitinga,SP
272f092de69afedd4d2969440b37f18f,03265,sao paulo,SP
276677b5d08786d5dce7c2149dcce48b,31730,belo horizonte,MG
282f23a9769b2690c5dda22e316f9941,31573,belo horizonte,MG
289cdb325fb7e7f891c38608bf9e0962,31570,belo horizonte,SP
2a261b5b644fa05f4f2700eb93544f2c,13660,porto ferreira,SP
2a6fbeaa7ab9e5d59a35841a8da71ce4,89259,jaragua do sul,SC
2a7dc43cecabf23403078e2188437d1d,04142,sao paulo,SP
2a84855fd20af891be03bc5924d2b453,30111,belo horizonte,MG
2aa3443d7bf9d9bb11133f420d75e083,22713,rio de janeiro,RJ
